   z        r        Bz       Br       Btot
   0.000    0.000  5.00258  0.00000  5.00258
   1.000    0.000  5.00260  0.00000  5.00260
   2.000    0.000  5.00190  0.00000  5.00190
   3.000    0.000  4.99839  0.00000  4.99839
   4.000    0.000  4.98894  0.00000  4.98894
   5.000    0.000  4.96989  0.00000  4.96989
   6.000    0.000  4.93755  0.00000  4.93755
   7.000    0.000  4.88879  0.00000  4.88879
   8.000    0.000  4.82151  0.00000  4.82151
   9.000    0.000  4.73483  0.00000  4.73483
  10.000    0.000  4.62912  0.00000  4.62912
  11.000    0.000  4.50580  0.00000  4.50580
  12.000    0.000  4.36706  0.00000  4.36706
  13.000    0.000  4.21554  0.00000  4.21554
  14.000    0.000  4.05401  0.00000  4.05401
  15.000    0.000  3.88521  0.00000  3.88521
  16.000    0.000  3.71170  0.00000  3.71170
  17.000    0.000  3.53577  0.00000  3.53577
  18.000    0.000  3.35945  0.00000  3.35945
  19.000    0.000  3.18448  0.00000  3.18448
  20.000    0.000  3.01234  0.00000  3.01234
  21.000    0.000  2.84426  0.00000  2.84426
  22.000    0.000  2.68121  0.00000  2.68121
  23.000    0.000  2.52396  0.00000  2.52396
  24.000    0.000  2.37311  0.00000  2.37311
  25.000    0.000  2.22905  0.00000  2.22905
  26.000    0.000  2.09204  0.00000  2.09204
  27.000    0.000  1.96221  0.00000  1.96221
  28.000    0.000  1.83957  0.00000  1.83957
  29.000    0.000  1.72404  0.00000  1.72404
  30.000    0.000  1.61549  0.00000  1.61549
  31.000    0.000  1.51368  0.00000  1.51368
  32.000    0.000  1.41838  0.00000  1.41838
  33.000    0.000  1.32931  0.00000  1.32931
  34.000    0.000  1.24615  0.00000  1.24615
  35.000    0.000  1.16859  0.00000  1.16859
  36.000    0.000  1.09630  0.00000  1.09630
  37.000    0.000  1.02898  0.00000  1.02898
  38.000    0.000  0.96630  0.00000  0.96630
  39.000    0.000  0.90796  0.00000  0.90796
  40.000    0.000  0.85366  0.00000  0.85366
  41.000    0.000  0.80313  0.00000  0.80313
  42.000    0.000  0.75609  0.00000  0.75609
  43.000    0.000  0.71230  0.00000  0.71230
  44.000    0.000  0.67152  0.00000  0.67152
  45.000    0.000  0.63353  0.00000  0.63353
  46.000    0.000  0.59812  0.00000  0.59812
  47.000    0.000  0.56511  0.00000  0.56511
  48.000    0.000  0.53431  0.00000  0.53431
  49.000    0.000  0.50556  0.00000  0.50556
  50.000    0.000  0.47871  0.00000  0.47871
  51.000    0.000  0.45362  0.00000  0.45362
  52.000    0.000  0.43015  0.00000  0.43015
  53.000    0.000  0.40819  0.00000  0.40819
  54.000    0.000  0.38763  0.00000  0.38763
  55.000    0.000  0.36836  0.00000  0.36836
  56.000    0.000  0.35029  0.00000  0.35029
  57.000    0.000  0.33334  0.00000  0.33334
  58.000    0.000  0.31741  0.00000  0.31741
  59.000    0.000  0.30245  0.00000  0.30245
  60.000    0.000  0.28838  0.00000  0.28838
  61.000    0.000  0.27514  0.00000  0.27514
  62.000    0.000  0.26268  0.00000  0.26268
  63.000    0.000  0.25093  0.00000  0.25093
  64.000    0.000  0.23985  0.00000  0.23985
  65.000    0.000  0.22940  0.00000  0.22940
  66.000    0.000  0.21953  0.00000  0.21953
  67.000    0.000  0.21021  0.00000  0.21021
  68.000    0.000  0.20139  0.00000  0.20139
  69.000    0.000  0.19305  0.00000  0.19305
  70.000    0.000  0.18515  0.00000  0.18515
  71.000    0.000  0.17767  0.00000  0.17767
  72.000    0.000  0.17058  0.00000  0.17058
  73.000    0.000  0.16385  0.00000  0.16385
  74.000    0.000  0.15747  0.00000  0.15747
  75.000    0.000  0.15141  0.00000  0.15141
  76.000    0.000  0.14565  0.00000  0.14565
  77.000    0.000  0.14017  0.00000  0.14017
  78.000    0.000  0.13496  0.00000  0.13496
  79.000    0.000  0.13001  0.00000  0.13001
  80.000    0.000  0.12529  0.00000  0.12529
  81.000    0.000  0.12079  0.00000  0.12079
  82.000    0.000  0.11650  0.00000  0.11650
  83.000    0.000  0.11241  0.00000  0.11241
  84.000    0.000  0.10851  0.00000  0.10851
  85.000    0.000  0.10478  0.00000  0.10478
  86.000    0.000  0.10122  0.00000  0.10122
  87.000    0.000  0.09782  0.00000  0.09782
  88.000    0.000  0.09457  0.00000  0.09457
  89.000    0.000  0.09146  0.00000  0.09146
  90.000    0.000  0.08848  0.00000  0.08848
  91.000    0.000  0.08563  0.00000  0.08563
  92.000    0.000  0.08290  0.00000  0.08290
  93.000    0.000  0.08029  0.00000  0.08029
  94.000    0.000  0.07778  0.00000  0.07778
  95.000    0.000  0.07537  0.00000  0.07537
  96.000    0.000  0.07306  0.00000  0.07306
  97.000    0.000  0.07085  0.00000  0.07085
  98.000    0.000  0.06872  0.00000  0.06872
  99.000    0.000  0.06668  0.00000  0.06668
 100.000    0.000  0.06471  0.00000  0.06471
 101.000    0.000  0.06283  0.00000  0.06283
 102.000    0.000  0.06101  0.00000  0.06101
 103.000    0.000  0.05926  0.00000  0.05926
 104.000    0.000  0.05758  0.00000  0.05758
 105.000    0.000  0.05596  0.00000  0.05596
 106.000    0.000  0.05441  0.00000  0.05441
 107.000    0.000  0.05290  0.00000  0.05290
 108.000    0.000  0.05146  0.00000  0.05146
 109.000    0.000  0.05006  0.00000  0.05006
 110.000    0.000  0.04872  0.00000  0.04872
 111.000    0.000  0.04742  0.00000  0.04742
 112.000    0.000  0.04617  0.00000  0.04617
 113.000    0.000  0.04496  0.00000  0.04496
 114.000    0.000  0.04379  0.00000  0.04379
 115.000    0.000  0.04266  0.00000  0.04266
 116.000    0.000  0.04158  0.00000  0.04158
 117.000    0.000  0.04052  0.00000  0.04052
 118.000    0.000  0.03951  0.00000  0.03951
 119.000    0.000  0.03852  0.00000  0.03852
 120.000    0.000  0.03757  0.00000  0.03757
 121.000    0.000  0.03665  0.00000  0.03665
 122.000    0.000  0.03576  0.00000  0.03576
 123.000    0.000  0.03490  0.00000  0.03490
 124.000    0.000  0.03406  0.00000  0.03406
 125.000    0.000  0.03326  0.00000  0.03326
 126.000    0.000  0.03247  0.00000  0.03247
 127.000    0.000  0.03171  0.00000  0.03171
 128.000    0.000  0.03098  0.00000  0.03098
 129.000    0.000  0.03027  0.00000  0.03027
 130.000    0.000  0.02957  0.00000  0.02957
 131.000    0.000  0.02890  0.00000  0.02890
